Engelse naam;;Soort (NL);Latijnse naam;Nederlandse naam;Soss.;Swak.;Etosh;Caprivi;Chobe;Bijz.
Common Ostrich;Ostrich;Struisvogel;Struthio camelus;Struisvogel;;;;;;
White-faced Whistling Duck;Duck;Eenden;Dendrocygna viduata;Witwangfluiteend;;;;Vaak;Vaak;
Fulvous Whistling Duck;Duck;Eenden;Dendrocygna bicolor;Rosse Fluiteend;;;;Soms;Soms;
Maccoa Duck;Duck;Eenden;Oxyura maccoa;Afrikaanse Stekelstaart;Soms;Soms;Soms;;;Kwetsbaar
Egyptian Goose;Duck;Eenden;Alopochen aegyptiaca;Nijlgans;Vaak;Vaak;Vaak;Vaak;Vaak;
South African Shelduck;Duck;Eenden;Tadorna cana;Kaapse Casarca;;;Vaak;;;
Southern Pochard;Duck;Eenden;Netta erythrophthalma;Bruine Krooneend;Vaak;Vaak;Vaak;Vaak;Vaak;
Garganey;Duck;Eenden;Spatula querquedula;Zomertaling;;;;;;Zeldzaam/Dwaalgast 
Hottentot Teal;Duck;Eenden;Spatula hottentota;Hottentottaling;;;Soms;Soms;Soms;
Cape Shoveler;Duck;Eenden;Spatula smithii;Kaapse Slobeend;Soms;Soms;Soms;Soms;;
African Black Duck;Duck;Eenden;Anas sparsa;Afrikaanse Zwarte Eend;;;;;;
Yellow-billed Duck;Duck;Eenden;Anas undulata;Geelsnaveleend;;;;Vaak;Vaak;
Mallard;Duck;Eenden;Anas platyrhynchos;Wilde Eend;;;;;;Geïntroduceerd 
Cape Teal;Duck;Eenden;Anas capensis;Kaapse Taling;Soms;Soms;Soms;Soms;Soms;
Red-billed Teal;Duck;Eenden;Anas erythrorhyncha;Roodsnavelpijlstaart;Vaak;Vaak;Vaak;Vaak;Vaak;
White-backed Duck;Duck;Eenden;Thalassornis leuconotus;Witrugeend;;;Soms;Soms;Soms;
Spur-winged Goose;Duck;Eenden;Plectropterus gambensis;Spoorwiekgans;;;Vaak;Vaak;Vaak;
Comb Duck;Duck;Eenden;Sarkidiornis melanotos;Knobbeleend;;;Soms;Soms;Soms;
African Pygmy Goose;Duck;Eenden;Nettapus auritus;Afrikaanse Dwergeend;;;;Soms;Soms;
Helmeted Guineafowl;Guineafowl;Hoenderen;Numida meleagris;Helmparelhoen;Vaak;Vaak;Vaak;Vaak;Vaak;
Crested Guineafowl;Guineafowl;Hoenderen;Guttera pucherani;Kroonparelhoen;;;;;Soms;
Common Quail;Quail/Fowls;Kwartels;Coturnix coturnix;Kwartel;;;Soms;Soms;Soms;
Harlequin Quail;Quail/Fowls;Kwartels;Coturnix delegorguei;Harlekijnkwartel;;;Soms;Soms;Soms;
Hartlaub's Francolin;Quail/Fowls;Kwartels;Pternistis hartlaubi;Hartlaubs Frankolijn;;;Zelden;;;
Red-billed Francolin;Quail/Fowls;Kwartels;Pternistis adspersus;Roodsnavelfrankolijn;;;Soms;Soms;Soms;
Cape Francolin;Quail/Fowls;Kwartels;Pternistis capensis;Kaapse Frankolijn;;;;;;
Red-necked Spurfowl;Quail/Fowls;Kwartels;Pternistis afer;Roodkeelfrankolijn;;;;Vaak;;
Swainson's Francolin;Quail/Fowls;Kwartels;Pternistis swainsonii;Swainsons Frankolijn;;;Vaak;Vaak;Vaak;
Crested Francolin;Quail/Fowls;Kwartels;Dendroperdix sephaena;Kuiffrankolijn;;;Vaak;Vaak;Vaak;
Coqui Francolin;Quail/Fowls;Kwartels;Peliperdix coqui;Coquifrankolijn;;;;Vaak;Vaak;
Orange River Francolin;Quail/Fowls;Kwartels;Scleroptila gutturalis;Archers Frankolijn;;;Soms;;;
Greater Flamingo;Flamingo;Flamingos;Phoenicopterus roseus;Flamingo;Soms;Soms;Soms;Soms;Soms;
Lesser Flamingo;Flamingo;Flamingos;Phoeniconaias minor;Kleine Flamingo;Soms;Soms;;Soms;Soms;Bijna uitgestorven
Little Grebe;Grebe;Futen;Tachybaptus ruficollis;Dodaars;Vaak;Vaak;Vaak;Vaak;Vaak;
Great Crested Grebe;Grebe;Futen;Podiceps cristatus;Fuut;;;;;;
Black-necked Grebe;Grebe;Futen;Podiceps nigricollis;Geoorde Fuut;Soms;Soms;Soms;;;
Rock Dove;Dove;Duiven;Columba livia;Rotsduif;;;;;;Geïntroduceerde soort 
Speckled Pigeon;Dove;Duiven;Columba guinea;Gespikkelde Duif;Vaak;Vaak;Vaak;;;
European Turtle Dove;Dove;Duiven;Streptopelia turtur;Zomertortel;;;;;;Zeldzaam/Dwaalgast 
Mourning Collared Dove;Dove;Duiven;Streptopelia decipiens;Treurtortel;;;;Soms;Soms;
Red-eyed Dove;Dove;Duiven;Streptopelia semitorquata;Roodoogtortel;;;;Vaak;Vaak;
Ring-necked Dove;Dove;Duiven;Streptopelia capicola;Kaapse Tortel;Vaak;Vaak;Vaak;Vaak;Vaak;
Laughing Dove;Dove;Duiven;Streptopelia senegalensis;Palmtortel;Vaak;Vaak;Vaak;Vaak;Vaak;
African Green Pigeon;Dove;Duiven;Treron calvus;Afrikaanse Papegaaiduif;;;Vaak;Vaak;Vaak;
Emerald-spotted Wood Dove;Dove;Duiven;Turtur chalcospilos;Smaragdvlekduif;;;Vaak;Vaak;Vaak;
Namaqua Dove;Dove;Duiven;Oena capensis;Maskerduif;Vaak;Vaak;Vaak;Vaak;Vaak;
Namaqua Sandgrouse;Grouse;Zandhoenderen;Pterocles namaqua;Namaquazandhoen;Vaak;Vaak;Vaak;Vaak;;
Yellow-throated Sandgrouse;Grouse;Zandhoenderen;Pterocles gutturalis;Geelkeelzandhoen;;;;Zelden;Zelden;
Double-banded Sandgrouse;Grouse;Zandhoenderen;Pterocles bicinctus;Dubbelbandzandhoen;Soms;Soms;Soms;Soms;Soms;
Burchell's Sandgrouse;Grouse;Zandhoenderen;Pterocles burchelli;Bont Zandhoen;;;Soms;Soms;Soms;
Red-billed Tropicbird;Tropicbird;Keerkringvogels;Phaethon aethereus;Roodsnavelkeerkringvogel;;;;;;Zeldzaam/Dwaalgast 
White-tailed Tropicbird;Tropicbird;Keerkringvogels;Phaethon lepturus;Witstaartkeerkringvogel;;;;;;Zeldzaam/Dwaalgast 
European Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus europaeus;Nachtzwaluw;;;Soms;Soms;Soms;
Rufous-cheeked Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus rufigena;Roodwangnachtzwaluw;Soms;Soms;Soms;Soms;Soms;
Fiery-necked Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus pectoralis;Roesthalsnachtzwaluw;;;Vaak;Vaak;Vaak;
Swamp Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus natalensis;Moerasnachtzwaluw;;;;;Zelden;
Freckled Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus tristigma;Rotsnachtzwaluw;Soms;Soms;Soms;;Soms;
Mozambique Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus fossii;Gabonnachtzwaluw;;;;Vaak;Vaak;
Pennant-winged Nightjar;Nightjar;Nachtzwaluwen;Caprimulgus vexillarius;Wimpelnachtzwaluw;;;;Soms;Soms;
Böhm's Spinetailed Swift;Swift;Gierzwaluwen;Neafrapus boehmi;Böhms Gierzwaluw;;;;Zelden;Zelden;
African Palm Swift;Swift;Gierzwaluwen;Cypsiurus parvus;Afrikaanse Palmgierzwaluw;;;Vaak;Vaak;Vaak;
Alpine Swift;Swift;Gierzwaluwen;Tachymarptis melba;Alpengierzwaluw;Vaak;Vaak;Vaak;Soms;Soms;
White-rumped Swift;Swift;Gierzwaluwen;Apus caffer;Kaffergierzwaluw;;Vaak;Vaak;;;
Horus Swift;Swift;Gierzwaluwen;Apus horus;Horusgierzwaluw;;;;;Zelden;
Little Swift;Swift;Gierzwaluwen;Apus affinis;Huisgierzwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
Bradfield's Swift;Swift;Gierzwaluwen;Apus bradfieldi;Damaragierzwaluw;Soms;Soms;Soms;;;
Common Swift;Swift;Gierzwaluwen;Apus apus;Gierzwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
Senegal Coucal;Cuckoo;Koekoeken;Centropus senegalensis;Senegalese Spoorkoekoek;;;Zelden;Zelden;Zelden;
Coppery-tailed Coucal;Cuckoo;Koekoeken;Centropus cupreicaudus;Koperstaartspoorkoekoek;;;;Zelden;Zelden;
White-browed Coucal;Cuckoo;Koekoeken;Centropus superciliosus;Wenkbrauwspoorkoekoek;;;;Vaak;Vaak;
African Black Coucal;Cuckoo;Koekoeken;Centropus grillii;Zwarte Spoorkoekoek;;;;Zelden;Zelden;
Jacobin Cuckoo;Cuckoo;Koekoeken;Clamator jacobinus;Jacobijnkoekoek;;;Vaak;Vaak;Vaak;
Levaillant's Cuckoo;Cuckoo;Koekoeken;Clamator levaillantii;Levaillants Koekoek;;;Soms;Soms;Soms;
Great Spotted Cuckoo;Cuckoo;Koekoeken;Clamator glandarius;Kuifkoekoek;;;Vaak;Vaak;Vaak;
Thick-billed Cuckoo;Cuckoo;Koekoeken;Pachycoccyx audeberti;Diksnavelkoekoek;;;;;;
Klaas's Cuckoo;Cuckoo;Koekoeken;Chrysococcyx klaas;Klaas' Koekoek;;;Vaak;Vaak;Vaak;
African Emerald Cuckoo;Cuckoo;Koekoeken;Chrysococcyx cupreus;Smaragdkoekoek;;;;;Vaak;
Diederick Cuckoo;Cuckoo;Koekoeken;Chrysococcyx caprius;Diederikkoekoek;Vaak;Vaak;Vaak;Vaak;Vaak;
Red-chested Cuckoo;Cuckoo;Koekoeken;Cuculus solitarius;Heremietkoekoek;;;;Vaak;Vaak;
Black Cuckoo;Cuckoo;Koekoeken;Cuculus clamosus;Zwarte Koekoek;;;Vaak;Vaak;Vaak;
Common Cuckoo;Cuckoo;Koekoeken;Cuculus canorus;Koekoek;;;Soms;Soms;Soms;
African Cuckoo;Cuckoo;Koekoeken;Cuculus gularis;Afrikaanse Koekoek;;;Soms;Soms;Soms;
African Rail;Crakes;Rallen;Rallus caerulescens;Afrikaanse Waterral;;;Vaak;Vaak;Vaak;
African Crake;Crakes;Rallen;Crex egregia;Afrikaanse Kwartelkoning;;;Soms;Soms;Soms;
Corncrake;Crakes;Rallen;Crex crex;Kwartelkoning;;;;Soms;Soms;Zeldzaam/Dwaalgast 
Spotted Crake;Crakes;Rallen;Porzana porzana;Porseleinhoen;;;Soms;Soms;Soms;
Black Crake;Crakes;Rallen;Zapornia flavirostra;Zwart Porseleinhoen;;Vaak;Vaak;Vaak;Vaak;
Baillon's Crake;Crakes;Rallen;Zapornia pusilla;Kleinst Waterhoen;;;Soms;Soms;Soms;
Striped Crake;Crakes;Rallen;Amaurornis marginalis;Afrikaans Porseleinhoen;;;Soms;Soms;Soms;
Purple Swamphen;Crakes;Rallen;Porphyrio porphyrio;Purperkoet;;Soms;Soms;Soms;Soms;
Allen's Gallinule;Crakes;Rallen;Porphyrio alleni;Afrikaans Purperhoen;;;;Soms;Soms;
Purple Gallinule;Crakes;Rallen;Porphyrio martinicus;Amerikaans Purperhoen;;;;;;Zeldzaam/Dwaalgast 
Common Moorhen;Crakes;Rallen;Gallinula chloropus;Waterhoen;Vaak;Vaak;Vaak;Vaak;Vaak;
Lesser Moorhen;Crakes;Rallen;Gallinula angulata;Afrikaans Waterhoen;;;Soms;Soms;Soms;
Red-knobbed Coot;Crakes;Rallen;Fulica cristata;Knobbelmeerkoet;Vaak;Vaak;Vaak;Vaak;;
Buff-spotted Flufftail;Flufttail;Rallen;Sarothrura elegans;Bruinvlekral;;;;;;
Red-chested Flufftail;Flufttail;Rallen;Sarothrura rufa;Roodborstral;;;;;;
African Finfoot;Finfoot;Watertrapper;Podica senegalensis;Watertrapper;;;;Zelden;Zelden;
Grey Crowned Crane;Crane;Kraanvogels;Balearica regulorum;Grijze Kroonkraanvogel;;;Vaak;Vaak;Vaak;In gevaar
Wattled Crane;Crane;Kraanvogels;Grus carunculata;Lelkraanvogel;;;;Zelden;Zelden;Kwetsbaar
Blue Crane;Crane;Kraanvogels;Grus paradisea;Stanleys Kraanvogel;;;;;;Kwetsbaar
Vigors's Bustard;Bustard;Trappen;Heterotetrax vigorsii;Zwartkintrap;;;;;;
Rüppell's Bustard;Bustard;Trappen;Heterotetrax rueppelii;Rüppells Trap;Vaak;Vaak;;;;
Black-bellied Bustard;Bustard;Trappen;Lissotis melanogaster;Zwartbuiktrap;;;;Zelden;Zelden;
Kori Bustard;Bustard;Trappen;Ardeotis kori;Koritrap;Soms;Soms;Soms;Soms;Soms;Bijna uitgestorven
Ludwig's Bustard;Bustard;Trappen;Ardeotis ludwigii;Ludwigs Trap;Soms;Soms;Soms;;;In gevaar
Denham's Bustard;Bustard;Trappen;Ardeotis denhami;Denhams Trap;;;;Soms;Soms;Bijna uitgestorven
Red-crested Bustard;Bustard;Trappen;Lophotis ruficrista;Zuid-Afrikaanse Kuiftrap;;;Vaak;Vaak;Vaak;
White-bellied Bustard;Bustard;Trappen;Eupodotis senegalensis;Senegaltrap;Vaak;Vaak;;;;Zeldzaam/Dwaalgast 
White-quilled Bustard;Bustard;Trappen;Afrotis afraoides;Botswanatrap;;;;;;
Grey Go-away-bird;Turacoo;Toerakos;Corythaixoides concolor;Vale Toerako;Vaak;Vaak;Vaak;Vaak;Vaak;
Schalow's Turaco;Turacoo;Toerakos;Tauraco schalowi;Schalows Toerako;;;;;;
Little Penguin;Penguin;Pinguins;Eudyptula minor;Dwergpinguïn;;;;;;Zeldzaam/Dwaalgast 
Jackass Penguin;Penguin;Pinguins;Spheniscus demersus;Zwartvoetpinguïn;Soms;Soms;;;;In gevaar
Wilson's Storm-petrel;Storm-petrel;Stormvogels;Oceanites oceanicus;Wilsons Stormvogeltje;Vaak;Vaak;;;;
Black-bellied Storm-petrel;Storm-petrel;Stormvogels;Fregetta tropica;Zwartbuikstormvogeltje;;;;;;
Wandering Albatross;Albatross;Albatrossen;Diomedea exulans;Grote Albatros;Soms;Soms;;;;
Yellow-nosed Albatross;Albatross;Albatrossen;Thalassarche chlororhynchos;Geelbekalbatros;Vaak;Vaak;;;;
Grey-headed Albatross;Albatross;Albatrossen;Thalassarche chrysostoma;Grijskopalbatros;;;;;;In gevaar
Black-browed Albatross;Albatross;Albatrossen;Thalassarche melanophris;Wenkbrauwalbatros;Vaak;Vaak;;;;
White-capped Albatross;Albatross;Albatrossen;Thalassarche cauta;Witkapalbatros;Soms;Soms;;;;
European Storm-petrel;Storm-petrel;Stormvogels;Hydrobates pelagicus;Stormvogeltje;Soms;Soms;;;;
Madeiran Storm-petrel;Storm-petrel;Stormvogels;Hydrobates castro;Madeirastormvogeltje;;;;;;Zeldzaam/Dwaalgast 
Leach's Storm-petrel;Storm-petrel;Stormvogels;Hydrobates leucorhous;Vaal Stormvogeltje;Zelden;Zelden;;;;Kwetsbaar
Northern Giant Petrel;Petrel/Shearwaters;Stormvogels;Macronectes halli;Noordelijke Reuzenstormvogel;Vaak;Vaak;;;;
Southern Giant Petrel;Petrel/Shearwaters;Stormvogels;Macronectes giganteus;Zuidelijke Reuzenstormvogel;Soms;Soms;;;;
Southern Fulmar;Petrel/Shearwaters;Stormvogels;Fulmarus glacialoides;Grijze Stormvogel;;;;;;Zeldzaam/Dwaalgast 
Cape Petrel;Petrel/Shearwaters;Stormvogels;Daption capense;Kaapse Stormvogel;Vaak;Vaak;;;;
Antarctic Prion;Petrel/Shearwaters;Stormvogels;Pachyptila desolata;Antarctische Prion;Soms;Soms;;;;
Fairy Prion;Petrel/Shearwaters;Stormvogels;Pachyptila turtur;Duifprion;Soms;Soms;;;;Zeldzaam/Dwaalgast 
Barau's Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma baraui;Baraus Stormvogel;;;;;;In gevaar
Soft-plumaged Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma mollis;Donsstormvogel;Soms;Soms;;;;
Atlantic Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma incerta;Schlegels Stormvogel;;;;;;In gevaar
Great-winged Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma macroptera;Langvleugelstormvogel;Soms;Soms;;;;
White-chinned Petrel;Petrel/Shearwaters;Stormvogels;Procellaria aequinoctialis;Witkinstormvogel;Vaak;Vaak;;;;Kwetsbaar
Spectacled Petrel;Petrel/Shearwaters;Stormvogels;Procellaria conspicillata;Brilstormvogel;;;;;;Kwetsbaar
Sooty Shearwater;Petrel/Shearwaters;Stormvogels;Ardenna grisea;Grauwe Pijlstormvogel;Vaak;Vaak;;;;Bijna uitgestorven
Great Shearwater;Petrel/Shearwaters;Stormvogels;Ardenna gravis;Grote Pijlstormvogel;Soms;Soms;;;;
Scopoli's Shearwater;Petrel/Shearwaters;Stormvogels;Calonectris diomedea;Scopoli's Pijlstormvogel;Soms;Soms;;;;
Cory's Shearwater;Petrel/Shearwaters;Stormvogels;Calonectris borealis;Kuhls Pijlstormvogel;;;;;;
Manx Shearwater;Petrel/Shearwaters;Stormvogels;Puffinus puffinus;Noordse Pijlstormvogel;;;;;;
Bulwer's Petrel;Petrel/Shearwaters;Stormvogels;Bulweria bulwerii;Bulwers Stormvogel;;;;;;Zeldzaam/Dwaalgast 
Marabou;Storks;Ooievaars;Leptoptilos crumenifer;Afrikaanse Maraboe;;;Soms;Soms;Soms;
Yellow-billed Stork;Storks;Ooievaars;Mycteria ibis;Afrikaanse Nimmerzat;Zelden;;;Zelden;Soms;
African Openbill;Storks;Ooievaars;Anastomus lamelligerus;Afrikaanse Gaper;;;Zelden;Zelden;Zelden;
Black Stork;Storks;Ooievaars;Ciconia nigra;Zwarte Ooievaar;Zelden;Zelden;Zelden;Zelden;Zelden;
Abdim's Stork;Storks;Ooievaars;Ciconia abdimii;Abdims Ooievaar;;;Soms;Soms;Soms;
Woolly-necked Stork;Storks;Ooievaars;Ciconia episcopus;Bisschopsooievaar;;Zelden;Zelden;Zelden;Zelden;
European White Stork;Storks;Ooievaars;Ciconia ciconia;Ooievaar;Vaak;Vaak;Vaak;Vaak;Vaak;
Saddle-bill Stork;Storks;Ooievaars;Ephippiorhynchus senegalensis;Zadelbekooievaar;;;Zelden;Zelden;Zelden;
Great White Pelican;Pelican;Pelikanen;Pelecanus onocrotalus;Roze Pelikaan;Soms;Soms;Soms;Soms;Soms;
Pink-backed Pelican;Pelican;Pelikanen;Pelecanus rufescens;Kleine Pelikaan;;;;Soms;Soms;
Hamerkop;Hamerkop;Hamerkoppen;Scopus umbretta;Hamerkop;Vaak;Vaak;Vaak;Vaak;Vaak;
Eurasian Bittern;Bittern/Heron;Reigers;Botaurus stellaris;Roerdomp;;;;;Zelden;
Little Bittern;Bittern/Heron;Reigers;Ixobrychus minutus;Woudaap;;Zelden;Zelden;Zelden;Zelden;
Dwarf Bittern;Bittern/Heron;Reigers;Ixobrychus sturmii;Afrikaanse Woudaap;;;Zelden;Zelden;Zelden;
White-backed Night Heron;Bittern/Heron;Reigers;Gorsachius leuconotus;Witrugkwak;;;;Zelden;Zelden;
Black-crowned Night Heron;Bittern/Heron;Reigers;Nycticorax nycticorax;Kwak;;;Soms;Soms;Soms;
Striated Heron;Bittern/Heron;Reigers;Butorides striata;Mangrovereiger;;;Soms;Soms;Soms;
Squacco Heron;Bittern/Heron;Reigers;Ardeola ralloides;Ralreiger;;Soms;Soms;Soms;Soms;
Rufous-bellied Heron;Bittern/Heron;Reigers;Ardeola rufiventris;Roodbuikreiger;;;Zelden;Soms;Soms;
Cattle Egret;Bittern/Heron;Reigers;Bubulcus ibis;Koereiger;;Vaak;Vaak;Vaak;Vaak;
Grey Heron;Bittern/Heron;Reigers;Ardea cinerea;Blauwe Reiger;Soms;Soms;Soms;Soms;Soms;
Black-headed Heron;Bittern/Heron;Reigers;Ardea melanocephala;Zwartkopreiger;Vaak;Vaak;Vaak;Vaak;Vaak;
Goliath Heron;Bittern/Heron;Reigers;Ardea goliath;Reuzenreiger;;;Soms;Soms;Soms;
Purple Heron;Bittern/Heron;Reigers;Ardea purpurea;Purperreiger;;;Soms;Soms;Soms;
Great Egret;Bittern/Heron;Reigers;Ardea alba;Grote Zilverreiger;;;Soms;Soms;Soms;
Intermediate Egret;Bittern/Heron;Reigers;Ardea intermedia;Middelste Zilverreiger;;;Soms;Soms;Soms;
Black Heron;Bittern/Heron;Reigers;Egretta ardesiaca;Zwarte Reiger;;;Soms;Soms;Soms;
Slaty Egret;Bittern/Heron;Reigers;Egretta vinaceigula;Sharpes Reiger;;;;Zelden;Zelden;Kwetsbaar
Little Egret;Bittern/Heron;Reigers;Egretta garzetta;Kleine Zilverreiger;Soms;Soms;Soms;Soms;Soms;
African Sacred Ibis;Ibis;Ibissen;Threskiornis aethiopicus;Heilige Ibis;;;Vaak;Vaak;Vaak;
African Spoonbill;Ibis;Ibissen;Platalea alba;Afrikaanse Lepelaar;;;Soms;Soms;Soms;
Hadada Ibis;Ibis;Ibissen;Bostrychia hagedash;Hadada-ibis;;;;Vaak;Vaak;
Glossy Ibis;Ibis;Ibissen;Plegadis falcinellus;Zwarte Ibis;;;Soms;Soms;Soms;
Cape Gannet;Gannet/Booby;Jan-van-genten;Morus capensis;Kaapse Jan-van-gent;Vaak;Vaak;;;;In gevaar
Australasian Gannet;Gannet/Booby;Jan-van-genten;Morus serrator;Pacifische Jan-van-gent;;;;;;Zeldzaam/Dwaalgast 
Red-footed Booby;Gannet/Booby;Jan-van-genten;Sula sula;Roodpootgent;;;;;;Zeldzaam/Dwaalgast 
Brown Booby;Gannet/Booby;Jan-van-genten;Sula leucogaster;Bruine Gent;;;;;;Zeldzaam/Dwaalgast 
Crowned Cormorant;Cormorant;Aalscholvers;Microcarbo coronatus;Kroonaalscholver;Zelden;Zelden;;;;Bijna uitgestorven
Long-tailed Cormorant;Cormorant;Aalscholvers;Microcarbo africanus;Afrikaanse Dwergaalscholver;Vaak;Vaak;Vaak;Vaak;Vaak;
Great Cormorant;Cormorant;Aalscholvers;Phalacrocorax carbo;Grote Aalscholver;Soms;Soms;Zelden;Soms;Soms;
Cape Cormorant;Cormorant;Aalscholvers;Phalacrocorax capensis;Kaapse Aalscholver;Vaak;Vaak;;;;In gevaar
Bank Cormorant;Cormorant;Aalscholvers;Phalacrocorax neglectus;Kustaalscholver;Soms;Soms;;;;In gevaar
African Darter;Darter;Slangenhalsvogels;Anhinga rufa;Afrikaanse Slangenhalsvogel;Soms;Soms;Soms;Soms;Soms;
